FIMP,Declaration Date,Bank,Description,Amount_EUR,Amount,Currency
1001,15/02/2023,HSBC Bank Malta,Savings Account,"123,874.21","123,874.21",EUR
1002,07/02/2023,HSBC Bank Malta,Savings Account,"279,027.62","279,027.62",EUR
1002,07/02/2023,HSBC Bank UK,Savings/Current Account,"4,637.79","3,952.79",GBP
1002,07/02/2023,BOV Malta,Savings Account,0.00,0.00,EUR
1002,07/02/2023,Revolut,Current Account (Closed Dec 22),0.00,0.00,EUR
1002,07/02/2023,HSBC VISA Gold,Credit Card,"-3,023.05","-2,576.55",GBP
1003,24/04/2023,Revolut,Trading Account,"4,983.00","4,983.00",EUR
1003,24/04/2023,HSBC,Credit Card,"-1,004.00","-1,004.00",EUR
1003,24/04/2023,BOV Savings,Savings Account,"202,050.00","202,050.00",EUR
1003,24/04/2023,BOV Fixed,Fixed Deposit,"6,988.00","6,988.00",EUR
1003,24/04/2023,HSBC,Fixed Account,"107,552.00","107,552.00",EUR
1004,28/04/2023,BOV p/c,,"95,258.68","95,258.68",EUR
1004,28/04/2023,BOV p/c,,"291,279.49","291,279.49",EUR
1004,28/04/2023,Lombard Bank,,20.00,20.00,EUR
1004,28/04/2023,BNF,,"1,276.40","1,276.40",EUR
1004,28/04/2023,Lombard Bank,,734.00,734.00,EUR
1005,20/02/2023,BOV,Savings Account,"78,260.00","78,260.00",EUR
1005,20/02/2023,BOV,Savings Account,"58,106.00","58,106.00",EUR
1005,20/02/2023,BOV,Savings Account,"25,393.00","25,393.00",EUR
1005,20/02/2023,BOV,Car Loan,"-1,500.00","-1,500.00",EUR
1005,20/02/2023,BOV,Credit Cards,"-2,100.00","-2,100.00",EUR
1006,24/04/2023,HSBC,Savings Account,"7,029.91","7,029.91",EUR
1006,24/04/2023,HSBC,Current Account,2.33,2.33,EUR
1006,24/04/2023,HSBC,Savings Account,"7,011.29","7,011.29",EUR
1006,24/04/2023,BOV,Savings Account,"7,906.38","7,906.38",EUR
1006,24/04/2023,BOV,Savings Account,"7,884.88","7,884.88",EUR
1006,24/04/2023,BOV,Current Account,219.11,219.11,EUR
1007,20/04/2023,BOV,,,,
