FIMP,Declaration_Date,Detail,Amount
1001,15/02/2023,Mortgage,"€81,461.74"
1003,24/04/2023,"Vilhena, Malta Government Bond Fund","€11,646.00"
1003,24/04/2023,"Vilhena, Maltese Opportunities Fund A/C","€23,641.00"
1006,24/04/2023,EUR: UBS (Lux) Euro High Yield Bond Fund UCIT @BOV Portfolio No: 203648234,"€11,860.79"
1006,24/04/2023,Summer Residence Loan (CBM/HSBC),"€297,035.98"
1008,28/04/2023,HSBC Mortgage,"€87,538.00"
1008,28/04/2023,HSBC Mortgage,"€123,733.00"
1008,28/04/2023,HSBC Mortgage,"€164,906.00"
1008,28/04/2023,HSBC Mortgage,"€164,252.00"
1009,27/04/2023,"Loan from BNF Bank, includes loan on residential home, vehicles, and credit cards","€234,370.01"
1009,27/04/2023,BOV Balanced Portfolio Fund Class C,"€3,449.99"
1009,27/04/2023,MAPFRE MSV LIFE plc Flexi Plan,"€7,405.53"
1010,25/04/2023,Life/ Savings Product (Policy),"€22,473.67"
1013,28/04/2023,"Through sale of father's garage on 29/3/21, inherited money","€11,000.00"
1014,02/03/2023,3% Malta Government Stock 2040 (I),"€20,300.00"
1017,11/02/2023,Personal Pension Plan with Profits,"€11,190.52"
1017,11/02/2023,Comprehensive Flexi Plan,"€10,978.68"
1018,14/05/2023,MeDirect Preferce Shares,"€800,000.00"
1018,14/05/2023,Pension Funds APS Bank,"€10,000.00"
1018,14/05/2023,Single Premium HSBC Bank,"€50,000.00"
1018,14/05/2023,Debtors from Sale of Motor Car,"€177,500.00"
1020,27/04/2023,Comprehensive Endowment Policy - Mapfre MSV Life,"€33,447.47"
1020,27/04/2023,House Loan,"-€426,116.10"
1023,08/02/2023,"Pension Fund for Employment period in Switzerland, maintained by UBS AG Bank","€3,465.28"
1025,28/04/2023,Revolut,€15.13
1029,20/04/2023,MSV Life,"€10,000.00"
1029,20/04/2023,Vilhena Funds,"€5,000.00"
1030,17/04/2023,GOV Shares,"€47,990.00"
1031,17/04/2023,Dividend - Kewta Co,"€2,000.00"
1034,16/04/2023,MSV Life Insurance,"€7,909.61"
1036,09/02/2023,MSV Life Policy,"€3,544.95"
1036,09/02/2023,BOV Home Loans,"-€143,864.01"
1037,24/04/2023,HSBC Bank Loans,"€120,625.45"
1037,24/04/2023,1/2 share of BOV bank Loan,"€401,886.44"
1039,26/04/2023,Vilhena Malta Government Bond Fund,54.43 Units
1040,16/02/2023,APLUS Home Loan,"€307,682.94"
1043,19/04/2023,Self mill-HSBC Bank plc li jinkludi self fuq id-dar Flat B'Kara  ,"-€152,202.00"
1043,19/04/2023,Kera mill-fond bl-indirizz: Sunshine Court Flat 5 Triq il-Ftieh B'kara,"€15,000.00"
1043,19/04/2023,HSBC plc savings Plan Policy (f'isemi u il-konjugi),"€35,432.77"
1046,08/04/2023,MSV Life Insurance,"EUR 120,000 sa tmiem l-ahhar legislatura"
1046,08/04/2023,Penzonji privata ma' Mapfree Middlesea Insurance,"EUR 1,500 sa tmiem l-ahhar legislatura"
1047,29/03/2023,Leasing Part of the House,"€6,720.00"
1052,26/04/2023,Home loan with Lombard Bank ,"€39,837.00"
1054,20/04/2023,"Three Sun Life of Canada Policies (life) 1976, 1980, 1980 ",/
1054,20/04/2023,Local investments with stockbrokers,/
1055,13/02/2023,Lifelink Growth W/Profits,"€18,000.00"
1059,25/04/2023,8% share holding in Land Holding co. Marlene investment. Company was (illegible) to purchase land in Bulgaria. No trading since purchase of land,/
1059,25/04/2023,Commercial Rent of premises (clinic),"€85,316.00"
1060,21/04/2023,BOV Dental Overdraft Account,"-€127,688.98"
1060,21/04/2023,BOV Property Overdraft Account,"-€2,735,488.57"
1060,21/04/2023,BOV Card Account,€831.89
1060,21/04/2023,Loan to Simon Farrugia,"€231,176.75"
1060,21/04/2023,Loan to Matthew Farrugia,"€94,769.83"
1064,20/02/2023,Government Stock,"€20,000.00"
1067,22/02/2023,Mutual Funds,"€3,993.97"
1068,27/04/2023,Vilhena Malta Bond Fund Acc,16 (amount)
1068,27/04/2023,Vilhena Eur Multimanager Fund,862 (amount)
1068,27/04/2023,Vilhena Global Themed Fund (Eur),"1,163 (amount)"
1068,27/04/2023,BOV Conservative Portfolio Ucits Fund - Class A - Acc,"23,627 (amount)"
1068,27/04/2023,BOV Balanced Portfolio Ucits Fund Class C - Acc,"8,031 (amount)"
1068,27/04/2023,BOV Lifelink Investment Bond,"€40,443.42"
1068,27/04/2023,Comprehensive Flexi Plan,"€5,227.46"
1068,27/04/2023,MSV 2010 Single Premium Plan,"€25,600.89"
1068,27/04/2023,Personal Pension Plan,"€6,069.37"
1070,22/04/2023,MSV Life,"€18,292.42"
1073,15/02/2023,50% Sehem fi propjeta fiz-zejtun fuq konvenju (Depozitu),"€10,000.00"
1073,15/02/2023,100% sehem fo propjeta f'Marsaxlokk fuq konvenju (Depozitu),"€16,500.00"
1073,15/02/2023,100% sehem fuq zewg appartamenti fuq konvejnu (Depozitu),"€24,000.00"
1073,15/02/2023,Kontanti,"€9,000.00"
1080,28/03/2023,Loan with Lombard Bank plc,"-€28,330.32"
1080,28/03/2023,Payment on Visa Card,-€721.40
1082,24/02/2023,APS Bank Home Loan,"-€365,462.00"
1082,24/02/2023,APS Credit Card,-€494.00
1082,24/02/2023,BOV Credit Card,-€491.00
1087,24/04/2023,APS Loan,"-€130,000.00"
1088,28/04/2023,Interests BOV Bonds + MGS,"€1,850.00"
1088,29/04/2023,MGS Bonds,"€150,000.00"
1088,30/04/2023,BOV Bonds,"€50,000.00"
1088,01/05/2023,(illegible) local bonds,"€25,000.00"
1090,20/03/2023,Global Capital Real Life Policy Account 1906-015285 (till 15 December 2022),"€12,509.32"
1093,18/04/2023,Self mill-HSBC Bank Malta p.l.c li jinkludi self fuq karti ta' kreditu,"€4,528.50"
