FIMP,Declaration_Date,Profession
1001,15/02/2023,Chief Operating Officer
1002,07/02/2023,Consultant Surgeon
1002,07/02/2023,Visiting Senior Lecturer
1003,20/04/2023,Managing Director
1004,28/04/2023,Lawyer
1006,24/04/2023,Manager
1007,20/04/2023,Gerontologist
1008,28/04/2023,Family Doctor
1009,27/04/2023,Lawyer 
1010,25/04/2023,Lawyer
1011,17/04/2023,Social Worker
1011,17/04/2023,Mayor
1012,13/03/2023,Teacher
1013,28/04/2023,Lawyer
1014,02/03/2023,Parliamentary Secretary
1017,11/02/2023,Job Coach
1018,14/05/2023,Business and Information Technology Consultant
1018,14/05/2023,Trainer and Mentor
1019,25/04/2023,Law Graduate and Politician
1020,27/04/2023,Chartered Accountant
1021,24/04/2023,Architect
1022,22/04/2023,Student
1023,08/02/2023,Parliamentary Secretary
1024,17/02/2023,Lawyer
1025,28/04/2023,Lawyer
1026,25/04/2023,University Student
1028,24/04/2023,Engineer
1030,17/04/2023,Director
1031,17/04/2023,Executive Officer
1031,17/04/2023,Part-Time Lecturer
1032,21/02/2023,Parliamentary Secretary for Reforms and Equality
1033,28/04/2023,Lawyer
1034,16/04/2023,Engineer
1035,26/04/2023,Teacher
1037,24/04/2023,Architect
1038,14/03/2023,Lawyer
1039,26/04/2023,Financial Services Practitioner
1041,12/04/2023,Lawyer
1042,12/04/2023,Notary Public
1043,19/04/2023,Business Administrator
1044,24/04/2023,Lawyer
1045,30/04/2023,Lecturer
1045,30/04/2023,Lawyer
1046,08/04/2023,Lawyer
1047,29/03/2023,Civil Servant
1048,18/04/2023,Teacher
1049,03/03/2023,Lawyer
1051,16/03/2023,Academic 
1051,16/03/2023,Psychologist
1052,26/04/2023,Lawyer
1053,28/03/2023,Family Doctor
1054,20/04/2023,Doctor
1055,13/02/2023,Lawyer
1056,09/02/2023,Lawyer
1057,30/04/2023,Lawyer
1059,25/04/2023,Family Doctor
1060,21/04/2023,Dental Surgeon
1060,21/04/2023,Entrepreneur
1061,22/02/2023,Doctor
1062,25/04/2023,Banker
1064,20/02/2023,Paediatric Surgeon
1065,11/04/2023,Lawyer
1066,22/02/2023,Urban Planner
1067,22/02/2023,Regulatory Affairs Manager
1068,27/04/2023,Architect
1069,10/04/2023,Nurse
1070,22/04/2023,Lawyer
1071,23/04/2023,Lawyer
1073,15/02/2023,Consultant 
1074,26/04/2023,Lawyer
1075,27/03/2023,Lawyer
1077,27/04/2023,Consultant
1078,08/02/2023,Economist
1079,19/02/2023,Lawyer
1080,28/03/2023,Lawyer
1081,09/03/2023,Manager
1082,24/02/2023,Engineer
1083,19/04/2023,Teacher
1084,14/02/2023,Economist
1086,11/02/2023,Youth Worker
1086,11/02/2023,HR consultant
1086,11/02/2023,Disability Rights Expert
1087,24/04/2023,Lawyer
1088,28/04/2023,Medical Doctor
1089,12/03/2023,Shop Owner
1090,20/03/2023,Podiatrist
1091,01/04/2023,Teacher
1092,08/02/2023,Lawyer
1093,18/04/2023,Engineer
1094,25/04/2023,Pharmacist
1096,20/04/2023,Educator
