Name,Surname,Party,FIMP
Carmelo,Abela,PL,1
Jo Etienne ,Abela,PL,2
Ray,Abela,PL,3
Robert ,Abela,PL,4
Chris,Agius,PL,5
David ,Agius,PN,6
Anthony,Agius Decelis,PL,7
Malcolm Paul,Agius Galea,PL,8
Karol ,Aquilina,PN,9
Jonathan ,Attard,PL,10
Graziella ,Attard Previ,PN ,11
Charles ,Azzopardi,PN,12
Jason ,Azzopardi,PN,13
Keith ,Azzopardi Tanti,PL,14
Clayton,Bartolo,PL,15
Evarist ,Bartolo,PL,16
Ivan ,Bartolo,PN,17
Ivan J.,Bartolo,PN,18
Glenn ,Bedingfield,PL,19
Graham,Bencini,PN,20
Toni ,Bezzina,PN,21
Bernice,Bonello,PN,22
Chris,Bonett,PL,23
Owen ,Bonnici,PL,24
Alex,Borg,PN,25
Eve,Borg Bonello,PN,26
Ian,Borg,PL,27
Rebekah ,Borg,PN,28
Alicia,Bugeja Said,PL,29
Albert,Buttigieg,PN,30
Claudette ,Buttigieg,PN,31
Rebecca,Buttigieg,PL,32
Naomi,Cachia,PL,33
Ryan ,Callus,PN,34
Abigail,Camilleri,PL,35
Byron,Camilleri,PL,36
Clint,Camilleri,PL,37
Darren ,Carabott,PN,38
Jerome ,Caruana Cilia,PN,39
Clyde,Caruana,PL,40
Justyne,Caruana,PL,41
Ian,Castaldi Paris,PL,42
Ivan,Castillo,PN,43
Janice,Chetcuti,PN,44
Therese,Comodini Cachia,PN,45
Kevin,Cutajar,PN,46
Robert ,Cutajar,PN,47
Rosianne,Cutajar,PL,48
Miriam,Dalli,PL,49
Randolph,De Battista,PL,50
Katya,De Giovanni,PL,51
Mario,De Marco,PN,52
Deo,Debattista,PL,53
Maria,Deguara,PN,54
Adrian,Delia,PN,55
Andy,Ellul,PL,56
Michael ,Falzon,PL,57
Aaron,Farrugia,PL,58
Godfrey,Farrugia,Independent,59
Marlene,Farrugia,Independent,60
Michael,Farrugia,PL,61
Omar,Farrugia,PL,62
Julia,Farrugia Portelli,PL,63
Chris,Fearne,PL,64
Beppe,Fenech Adami,PN,65
Roderick,Galdes,PL,66
Cressida,Galea,PL,67
Graziella,Galea,PN,68
Mario,Galea,PN,69
Joe,Giglio,PN,70
Bernard,Grech,PN,71
Clifton,Grima,PL,72
Jean Claude,Micallef,PL,73
Carmelo,Mifsud Bonnici,PN,74
Paula,Mifsud Bonnici,PN,75
Joe,Mizzi,PL,76
Konrad,Mizzi,Independent,77
Alex,Muscat,PL,78
Anton,Refalo,PL,79
Chris,Said,PN,80
Davina,Sammut Hili,PL,81
Mark Anthony,Sammut,PN,82
Justin,Schembri,PN,83
Silvio,Schembri,PL,84
Hermann,Schiavone,PN,85
Oliver,Scicluna,PL,86
Amanda,Spiteri Grech,PL,87
Stephen,Spiteri,PN,88
Edwin,Vassallo,PN,89
Ian,Vassallo,PN,90
Julie,Zahra,PN,91
Edward,Zammit Lewis,PL,92
Stanley,Zammit,PN,93
Romilda,Zarb,PL,94
Alison,Zerafa Civelli,PL,95
Stefan,Zrinzo Azzopardi,PL,96
Robert ,Arrigo,PN,97
Kristy,Debono,PN,98
Joseph ,Ellis,PN,99
Karl ,Gouder,PL,100
Claudio,Grech,PN,101
Silvio,Grixti,PL,102
Gavin ,Gulia,PL,103
Jose,Herrera,PL,104
David ,Thake,PN,105
Simon,Busuttil,PN,106
Etienne ,Grech,PL,107
Emmanuel,Mallia,PL,108
Silvio ,Parnis,PL,109
Marthese,Portelli,PN,110
Clyde,Puli,PN,111
Edward,Scicluna,PL,112
Frederick ,Azzopardi,PN,113
Chris ,Cardona,PL,114
Helena,Dalli,PL,115
Joseph ,Muscat,PL,116
David,Stellini,PN,117
Charlo,Bonnici,PN,118
Antoine ,Borg,PN,119
Luciano,Busuttil,PL,120
Giovanna,Debono,PN,121
Joe,Debono Grech,PL,122
Jean Pierre,Debono,PN,123
Joe,Farrugia,PL,124
Tonio,Fenech,PN,125
Censu,Galea,PN,126
Michael,Gonzi,PN,127
Louis,Grech,PL,128
Franco,Mercieca,PL,129
Peter,Micallef,PN,130
George,Pullicino,PN,131
Joseph ,Sammut,PL,132
Deborah,Schembri,PL,133
George,Vella,PL,134
Francis,Zammit Dimech,PN,135
