Period,Year,Party,Category,Type_of_Donation,Amount,Number_of_Donations,Donor
January - April,2016,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,127.93,9,Anonymous
May - August,2016,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,164.82,2,Anonymous
September - December,2016,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,254.31,2,Anonymous
January - April,2016,Alternattiva Demokratika,C,Total individual donations not exceeding €500,230.00,3,Anonymous
May - August,2016,Alternattiva Demokratika,C,Total individual donations not exceeding €500,220.69,2,Anonymous
September - December,2016,Alternattiva Demokratika,C,Total individual donations not exceeding €500,160.00,1,Anonymous
January - April,2017,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,366.57,N/A,Anonymous
May - August,2017,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,"1,853.01",N/A,Anonymous
September - December,2017,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,428.28,N/A,Anonymous
January - April,2017,Alternattiva Demokratika,C,Total individual donations not exceeding €500,85.00,1,Anonymous
May - August,2017,Alternattiva Demokratika,C,Total individual donations not exceeding €500,"1,657.23",12,Anonymous
September - December,2017,Alternattiva Demokratika,C,Total individual donations not exceeding €500,185.00,1,Anonymous
May - August,2017,Alternattiva Demokratika,D,"Total individual donations exceeding €500 but not €7,000","2,300.00",2,Anonymous
September - December,2017,Alternattiva Demokratika,D,"Total individual donations exceeding €500 but not €7,000","3,787.95",2,Anonymous
January - April,2018,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,10.00,N/A,Anonymous
May - August,2018,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,53.99,N/A,Anonymous
September - December,2018,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,122.95,N/A,Anonymous
May - August,2018,Alternattiva Demokratika,C,Total individual donations not exceeding €500,235.00,N/A,Anonymous
September - December,2018,Alternattiva Demokratika,C,Total individual donations not exceeding €500,235.00,N/A,Anonymous
January - December,2019,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,325.00,8,Anonymous
May - August,2019,Alternattiva Demokratika,B,Total donations not exceeding €50 collected during manifestations,106.59,4,Anonymous
January - December,2019,Alternattiva Demokratika,C,Total individual donations not exceeding €500,810.00,4,Anonymous
May - August,2019,Alternattiva Demokratika,C,Total individual donations not exceeding €500,60.00,1,Anonymous
September - December,2019,Alternattiva Demokratika,C,Total individual donations not exceeding €500,100.00,1,Anonymous
September - December,2019,Alternattiva Demokratika,D,"Total individual donations exceeding €500 but not €7,000",575.00,1,Anonymous
January - April,2019,"Brain, Not Ego",C,Total individual donations not exceeding €500,60.00,2,Anonymous
January - April,2019,Imperium Europa,B,Total donations not exceeding €50 collected during manifestations,315.00,23,Anonymous
May - August,2019,Imperium Europa,C,Total individual donations not exceeding €500,220.33,10,Anonymous
May - August,2019,Imperium Europa,C,Total individual donations not exceeding €500,578.90,2,Anonymous
January - April,2019,Imperium Europa,C,Total individual donations not exceeding €500,"1,265.87",11,Anonymous
January - April,2020,Imperium Europa,B,Total donations not exceeding €50 collected during manifestations,50.00,1,Anonymous
January - April,2016,Moviment Patrijotti Maltin,B,Total donations not exceeding €50 collected during manifestations,38.00,1,Anonymous
May - August,2016,Moviment Patrijotti Maltin,B,Total donations not exceeding €50 collected during manifestations,45.00,1,Anonymous
September - December,2016,Moviment Patrijotti Maltin,B,Total donations not exceeding €50 collected during manifestations,322.00,41,Anonymous
May - August,2016,Moviment Patrijotti Maltin,C,Total individual donations not exceeding €500,557.00,5,Anonymous
